variable,Pv3_median,Pv3_plus,Pv3_minus,TPHM_median,TPHM_plus,TPHM_minus,XPHM_median,XPHM_plus,XPHM_minus
m1 [Msun],238.817,22.377,36.059,182.807,38.15,27.04,198.77,47.015,33.141
m2 [Msun],99.352,20.681,13.252,114.98,28.77,32.33,101.682,35.375,31.803
total_mass [Msun],336.924,16.164,17.355,300.661,30.464,42.77,304.678,33.426,46.238
chirp_mass [Msun],132.06,5.349,7.185,126.159,12.832,21.007,123.091,15.354,22.965
mass_ratio,0.411,0.176,0.079,0.624,0.234,0.21,0.508,0.278,0.194
a_1,0.922,0.05,0.121,0.904,0.082,0.314,0.65,0.282,0.23
a_2,0.657,0.226,0.234,0.784,0.197,0.437,0.689,0.285,0.366
theta_1 [rad],0.781,0.263,0.297,1.615,0.587,0.446,0.789,1.157,0.629
theta_2 [rad],1.147,0.598,0.540,1.873,0.92,1.04,1.045,1.488,0.827
chi_eff,0.505,0.116,0.128,-0.099,0.25,0.271,0.385,0.249,0.456
chi_p,0.627,0.164,0.217,0.876,0.104,0.332,0.442,0.383,0.276
remnant_mass [Msun],328.251,16.24,17.41,292.311,30.51,42.82,296.346,33.53,46.32
remnant_spin,0.807,0.051,0.06,0.550,0.128,0.143,0.765,0.128,0.221
E_rad [Msun],8.673,1.624,1.43,8.350,1.775,2.179,8.332,2.751,2.908
luminosity_distance [Gpc],2.85,0.593,0.581,2.75,0.936,0.779,3.16,0.602,1.123
redshift,0.49,0.084,0.086,0.476,0.131,0.117,0.535,0.083,0.165
log_bayes_factor,108.587,0.078,0.078,108.265,0.081,0.081,108.186,0.079,0.079
